id;destinacija;Aiport;Država
b344;Amsterdam;Bergamo;Nizozemska
b345;Amsterdam;Bergamo;Nizozemska
b346;Amsterdam;Bergamo;Nizozemska
b347;Amsterdam;Bergamo;Nizozemska
b348;Amsterdam;Bergamo;Nizozemska
b349;Amsterdam;Bergamo;Nizozemska
b350;Amsterdam;Bergamo;Nizozemska
b351;Amsterdam;Bergamo;Nizozemska
b352;Amsterdam;Bergamo;Nizozemska
b353;Amsterdam;Bergamo;Nizozemska
b354;Amsterdam;Bergamo;Nizozemska
b355;Amsterdam;Bergamo;Nizozemska
b356;Amsterdam;Bergamo;Nizozemska
b357;Amsterdam;Bergamo;Nizozemska
b358;Amsterdam;Bergamo;Nizozemska
b359;Amsterdam;Bergamo;Nizozemska
b360;Amsterdam;Bergamo;Nizozemska
b361;Amsterdam;Bergamo;Nizozemska
b362;Amsterdam;Bergamo;Nizozemska
b363;Amsterdam;Bergamo;Nizozemska
b364;Amsterdam;Bergamo;Nizozemska
b365;Amsterdam;Bergamo;Nizozemska
b366;Amsterdam;Bergamo;Nizozemska
b367;Amsterdam;Bergamo;Nizozemska
b368;Amsterdam;Bergamo;Nizozemska
b369;Amsterdam;Bergamo;Nizozemska
b370;Amsterdam;Bergamo;Nizozemska
b371;Amsterdam;Bergamo;Nizozemska
b372;Amsterdam;Bergamo;Nizozemska
b373;Amsterdam;Bergamo;Nizozemska
b374;Amsterdam;Bergamo;Nizozemska
b375;Amsterdam;Bergamo;Nizozemska
b376;Amsterdam;Bergamo;Nizozemska
b377;Amsterdam;Bergamo;Nizozemska
b378;Amsterdam;Bergamo;Nizozemska
b379;Amsterdam;Bergamo;Nizozemska
b380;Amsterdam;Bergamo;Nizozemska
b381;Amsterdam;Bergamo;Nizozemska
b382;Amsterdam;Bergamo;Nizozemska
b383;Amsterdam;Bergamo;Nizozemska
b384;Amsterdam;Bergamo;Nizozemska
b385;Amsterdam;Bergamo;Nizozemska
b386;Amsterdam;Bergamo;Nizozemska
b387;Amsterdam;Bergamo;Nizozemska
b388;Amsterdam;Bergamo;Nizozemska
b389;Amsterdam;Bergamo;Nizozemska
b390;Amsterdam;Bergamo;Nizozemska
b391;Amsterdam;Bergamo;Nizozemska
b392;Amsterdam;Bergamo;Nizozemska
b393;Amsterdam;Bergamo;Nizozemska
b394;Amsterdam;Bergamo;Nizozemska
b395;Amsterdam;Bergamo;Nizozemska
b396;Amsterdam;Bergamo;Nizozemska
b397;Amsterdam;Bergamo;Nizozemska
b398;Amsterdam;Bergamo;Nizozemska
b399;Amsterdam;Bergamo;Nizozemska
b400;Amsterdam;Bergamo;Nizozemska
b401;Amsterdam;Bergamo;Nizozemska
b402;Amsterdam;Bergamo;Nizozemska
b403;Amsterdam;Bergamo;Nizozemska
b404;Amsterdam;Bergamo;Nizozemska
b405;Amsterdam;Bergamo;Nizozemska
b406;Amsterdam;Bergamo;Nizozemska
b407;Amsterdam;Bergamo;Nizozemska
b408;Amsterdam;Bergamo;Nizozemska
b409;Amsterdam;Bergamo;Nizozemska
b410;Amsterdam;Bergamo;Nizozemska
b411;Amsterdam;Bergamo;Nizozemska
b412;Amsterdam;Bergamo;Nizozemska
b413;Amsterdam;Bergamo;Nizozemska
b414;Amsterdam;Bergamo;Nizozemska
b415;Amsterdam;Bergamo;Nizozemska
b416;Amsterdam;Bergamo;Nizozemska
