id,destinacija,datum,dan,cas 
v9623,Paris Orly,30/1/2023,PON,1:45
v9624,Paris Orly,2/2/2023,CET,1:45
v9625,Paris Orly,6/2/2023,PON,1:45
v9626,Paris Orly,9/2/2023,CET,1:45
v9627,Paris Orly,13/2/2023,PON,1:45
v9628,Paris Orly,16/2/2023,CET,1:45
v9629,Paris Orly,20/2/2023,PON,1:45
v9630,Paris Orly,23/2/2023,CET,1:45
v9631,Paris Orly,27/2/2023,PON,1:45
v9632,Paris Orly,2/3/2023,CET,1:45
v9633,Paris Orly,6/3/2023,PON,1:45
v9634,Paris Orly,9/3/2023,CET,1:45
v9635,Paris Orly,13/3/2023,PON,1:45
v9636,Paris Orly,16/3/2023,CET,1:45
v9637,Paris Orly,20/3/2023,PON,1:45
v9638,Paris Orly,23/3/2023,CET,1:45
v9639,Paris Orly,6/11/2022,NED,1:45
v9640,Paris Orly,13/11/2022,NED,1:45
v9641,Paris Orly,20/11/2022,NED,1:45
v9642,Paris Orly,27/11/2022,NED,1:45
v9643,Paris Orly,4/12/2022,NED,1:45
v9644,Paris Orly,11/12/2022,NED,1:45
v9645,Paris Orly,18/12/2022,NED,1:45
v9646,Paris Orly,7/11/2022,PON,1:45
v9647,Paris Orly,14/11/2022,PON,1:45
v9648,Paris Orly,21/11/2022,PON,1:45
v9649,Paris Orly,28/11/2022,PON,1:45
v9650,Paris Orly,5/12/2022,PON,1:45
v9651,Paris Orly,12/12/2022,PON,1:45
v9652,Paris Orly,19/12/2022,PON,1:45
v9653,Paris Orly,26/12/2022,PON,1:45
v9654,Paris Orly,2/1/2023,PON,1:45
v9655,Paris Orly,16/11/2022,SRE,1:45
v9656,Paris Orly,23/11/2022,SRE,1:45
v9657,Paris Orly,30/11/2022,SRE,1:45
v9658,Paris Orly,7/12/2022,SRE,1:45
v9659,Paris Orly,14/12/2022,SRE,1:45
v9660,Paris Orly,21/12/2022,SRE,1:45
v9661,Paris Orly,28/12/2022,SRE,1:45
v9662,Paris Orly,4/1/2023,SRE,1:45
v9663,Paris Orly,17/11/2022,CET,1:45
v9664,Paris Orly,18/11/2022,PET,1:45
v9665,Paris Orly,25/11/2022,PET,1:45
v9666,Paris Orly,24/11/2022,CET,1:45
v9667,Paris Orly,1/12/2022,CET,1:45
v9668,Paris Orly,2/12/2022,PET,1:45
v9669,Paris Orly,9/12/2022,PET,1:45
v9670,Paris Orly,16/12/2022,PET,1:45
v9671,Paris Orly,23/12/2022,PET,1:45
v9672,Paris Orly,30/12/2022,PET,1:45
v9673,Paris Orly,6/1/2023,PET,1:45
v9674,Paris Orly,13/1/2023,PET,1:45
v9675,Paris Orly,20/1/2023,PET,1:45
v9676,Paris Orly,27/1/2023,PET,1:45
v9677,Paris Orly,3/2/2023,PET,1:45
v9678,Paris Orly,10/2/2023,PET,1:45
v9679,Paris Orly,17/2/2023,PET,1:45
v9680,Paris Orly,24/2/2023,PET,1:45
v9681,Paris Orly,3/3/2023,PET,1:45
v9682,Paris Orly,10/3/2023,PET,1:45
v9683,Paris Orly,17/3/2023,PET,1:45
v9684,Paris Orly,24/3/2023,PET,1:45
v9685,Paris Orly,8/12/2022,CET,1:45
v9686,Paris Orly,15/12/2022,CET,1:45
v9687,Paris Orly,22/12/2022,CET,1:45
v9688,Paris Orly,29/12/2022,CET,1:45
v9689,Paris Orly,20/12/2022,TOR,1:45
v9690,Paris Orly,27/12/2022,TOR,1:45
v9691,Paris Orly,25/12/2022,NED,1:45
v9692,Paris Orly,31/12/2022,SOB,1:45
v9693,Paris Orly,7/1/2023,SOB,1:45
v9694,Paris Orly,31/12/2022,SOB,1:45
v9695,Paris Orly,7/1/2023,SOB,1:45
v9696,Paris Orly,1/1/2023,NED,1:45
v9697,Paris Orly,8/1/2023,NED,1:45
v9698,Paris Orly,1/1/2023,NED,1:45
v9699,Paris Orly,1/1/2023,NED,1:45
v9700,Paris Orly,8/1/2023,NED,1:45
v9701,Paris Orly,15/1/2023,NED,1:45
v9702,Paris Orly,22/1/2023,NED,1:45
v9703,Paris Orly,29/1/2023,NED,1:45
v9704,Paris Orly,5/2/2023,NED,1:45
v9705,Paris Orly,12/2/2023,NED,1:45
v9706,Paris Orly,19/2/2023,NED,1:45
v9707,Paris Orly,26/2/2023,NED,1:45
v9708,Paris Orly,5/3/2023,NED,1:45
v9709,Paris Orly,12/3/2023,NED,1:45
v9710,Paris Orly,19/3/2023,NED,1:45
v9711,Paris Orly,5/1/2023,CET,1:45
v9712,Paris Orly,8/1/2023,NED,1:45
v9713,Paris Orly,15/1/2023,NED,1:45
v9714,Paris Orly,22/1/2023,NED,1:45
v9715,Paris Orly,29/1/2023,NED,1:45
v9716,Paris Orly,5/2/2023,NED,1:45
v9717,Paris Orly,12/2/2023,NED,1:45
v9718,Paris Orly,19/2/2023,NED,1:45
v9719,Paris Orly,26/2/2023,NED,1:45
v9720,Paris Orly,5/3/2023,NED,1:45
v9721,Paris Orly,12/3/2023,NED,1:45
v9722,Paris Orly,19/3/2023,NED,1:45
v9723,Paris Orly,29/1/2023,NED,1:45
v9724,Paris Orly,5/2/2023,NED,1:45
v9725,Paris Orly,12/2/2023,NED,1:45
v9726,Paris Orly,19/2/2023,NED,1:45
v9727,Paris Orly,26/2/2023,NED,1:45
v9728,Paris Orly,5/3/2023,NED,1:45
v9729,Paris Orly,12/3/2023,NED,1:45
v9730,Paris Orly,19/3/2023,NED,1:45
v9731,Paris Orly,2/2/2023,CET,1:45
v9732,Paris Orly,3/2/2023,PET,1:45
v9733,Paris Orly,7/2/2023,TOR,1:45
v9734,Paris Orly,9/2/2023,CET,1:45
v9735,Paris Orly,10/2/2023,PET,1:45
v9736,Paris Orly,14/2/2023,TOR,1:45
v9737,Paris Orly,16/2/2023,CET,1:45
v9738,Paris Orly,17/2/2023,PET,1:45
v9739,Paris Orly,21/2/2023,TOR,1:45
v9740,Paris Orly,23/2/2023,CET,1:45
v9741,Paris Orly,24/2/2023,PET,1:45
v9742,Paris Orly,28/2/2023,TOR,1:45
v9743,Paris Orly,2/3/2023,CET,1:45
v9744,Paris Orly,3/3/2023,PET,1:45
v9745,Paris Orly,7/3/2023,TOR,1:45
v9746,Paris Orly,9/3/2023,CET,1:45
v9747,Paris Orly,10/3/2023,PET,1:45
v9748,Paris Orly,14/3/2023,TOR,1:45
v9749,Paris Orly,16/3/2023,CET,1:45
v9750,Paris Orly,17/3/2023,PET,1:45
v9751,Paris Orly,21/3/2023,TOR,1:45
v9752,Paris Orly,23/3/2023,CET,1:45
v9753,Paris Orly,24/3/2023,PET,1:45
v9754,Paris Orly,6/2/2023,PON,1:45
v9755,Paris Orly,7/2/2023,TOR,1:45
v9756,Paris Orly,13/2/2023,PON,1:45
v9757,Paris Orly,14/2/2023,TOR,1:45
v9758,Paris Orly,20/2/2023,PON,1:45
v9759,Paris Orly,21/2/2023,TOR,1:45
v9760,Paris Orly,27/2/2023,PON,1:45
v9761,Paris Orly,28/2/2023,TOR,1:45
v9762,Paris Orly,6/3/2023,PON,1:45
v9763,Paris Orly,7/3/2023,TOR,1:45
v9764,Paris Orly,13/3/2023,PON,1:45
v9765,Paris Orly,14/3/2023,TOR,1:45
v9766,Paris Orly,20/3/2023,PON,1:45
v9767,Paris Orly,21/3/2023,TOR,1:45
v9768,Paris Orly,11/2/2023,SOB,1:45
v9769,Paris Orly,18/2/2023,SOB,1:45
v9770,Paris Orly,25/2/2023,SOB,1:45
v9771,Paris Orly,4/3/2023,SOB,1:45
v9772,Paris Orly,11/3/2023,SOB,1:45
v9773,Paris Orly,18/3/2023,SOB,1:45
v9774,Paris Orly,25/3/2023,SOB,1:45
v9775,Paris Orly,11/2/2023,SOB,1:45
v9776,Paris Orly,18/2/2023,SOB,1:45
v9777,Paris Orly,25/2/2023,SOB,1:45
v9778,Paris Orly,4/3/2023,SOB,1:45
v9779,Paris Orly,11/3/2023,SOB,1:45
v9780,Paris Orly,18/3/2023,SOB,1:45
